glyph_hash|font_name|GlyphName|unicode_hex|AGL_name
017fc177ab13bbbbda8817d643e307e5|AFLDGC+Arial.tu.n..kurz.va020.813|G107|006b|k
018236fc00e5c803de640446abc4587a|ABMEFL+Arial.kurz.va035.438|G34|0022|quotedbl
0185f8247e79a00ac9ea98f88dde0676|AJGBFH+Arial021.688|G66|0042|B
018647d32cc42dac9a750c62af2eb31a|EFAPLB+Arial.Narrow.tu.n.0317.5|G99|0063|c
0187b3782745619e97db6c009538dc34|ADDHCD+Arial.tu.n.070.813|G121|0079|y
018c9c3cfad3955637a167c49bb910f2|ACJJOD+Arial029.188|G103|0067|g
018d0b4cb60de7197cc3e3c5684f97d9|ADHDHM+Arial.tu.n.0216.625|G114|0072|r
018e2e53ace9c54f67142bb9a6bc6ce7|ACMGIP+Arial054.188|G71|0047|G
019162a5631be5d33c21691d36d14094|AEIDMH+Arial.tu.n.075|G54|0036|six
0193c9f2c0d07eace36749b39d1c2cb5|DLJCPD+Arial.tu.n.0258.625|G74|004a|J
0194b96bbadfe9f825c97fc890786bfb|BGBFGI+Arial.kurz.va037.5|G249|016f|uring
0197cf801b6592255beca4726c4a988e|ENAAOD+Arial.kurz.va0317.5|G68|0044|D
0198fd2b1bc240b453adb270308c5bd9|DCIOLJ+Arial.tu.n.045.813|G154|0161|scaron
019adbedd2c9ab7dfc768466713c5abe|CLLKCH+Arial039.563|G118|0076|v
019cbf5c6781b9058d709a9c9dfde7bc|ACPNLO+Times.New.Roman025|G50|0032|two
01a3e96643b8939bd307dc48b4d48b99|CJOFOP+HelveticaInseratTTEE0100|G36|0024|dollar
01a4d4b4c557f9e529d6b83bb26ec285|AEALBF+Arial.kurz.va034.188|G38|0026|ampersand
01aa41be6a6d49a8a6c78d4eafb2f705|GNLAHE+Times.New.Roman037.5|G59|003b|semicolon
01aedbc8488a8d11b6d7523351a9d0ed|EMLPGI+Arial.tu.n.0100|G81|0051|Q
01af1f9c19019f6aa8ed9bc49bc2de0b|AHBLDI+Arial.kurz.va034.188|G41|0029|parenright
01af886d04e5b2adf32db75058b9f0bf|BGBDMF+Arial.tu.n.050|G53|0035|five
01b1c7099a8d6df8cb87b2670f34f423|BLLMAO+Arial.tu.n.038.75|G52|0034|four
01b23334b29bab2737ec365158d3effa|AJPGOO+Arial.tu.n.070.813|G52|0034|four
01b2b0065abbbfac7ae03fdaab280240|AECEFE+Lucida.Console066.688|G46|002e|period
01b4d85389b1dc4c89bc71517d1d7259|AMLBOF+Arial.tu.n.0108.313|G122|007a|z
01b5efefc5c48436beae55794ee325f3|ALNHFL+Arial020|G77|004d|M
01ba1ef15f6296e2ad2baa6efb98c214|AOJMOL+Arial.tu.n.0666.625|G115|0073|s
01c11c6f8161daa06e0cff2fd7aad026|AFLLFN+Courier.New033.313|G120|0078|x
01c19ce4e7614da990d890f3c269ee5c|BGBDNG+Arial037.5|G102|0066|f
01c32f3be95f8dd292e7ee6e8e7f0c0f|AKGBJA+Arial.tu.n..kurz.va0670.25|G118|0076|v
01c699b6c994200807565ef82fb43ea9|CNOCNP+Arial.tu.n.0108.313|G65|0041|A
01c6a66448a6050527e234a7db6d86f9|AOJOAN+Arial.tu.n.0400|G110|006e|n
01c814c1d1583f5f0db9660f55b1b345|ACJJGC+Arial.tu.n.0125|G103|0067|g
01c8f2e05a2f4e423da30611743fd3c6|ALMHFB+Arial.tu.n.0329.188|G102|0066|f
01c9348e6469516316ae584f593d2607|AMFCMI+Arial050|G85|0055|U
01ca1587d7605053dbfde6df702b6d66|AJELJP+Arial.tu.n.050|G218|00da|Uacute
01cc18ca29f5884c4c29a6e5c2102cf0|AMLIHD+Arial.tu.n.0740.813|G249|016f|uring
01ce6579cd04c286c711aef104dc7b1c|AOJNDO+Arial0250|G97|0061|a
01d26679726f9ba7883e4588242ed902|CDDLNH+Arial.tu.n.014.563|G50|0032|two
01d314736282daf31ccd78bf2e5fe599|BFGMLK+Arial.tu.n.041.25|G74|004a|J
01d31c2b3b45c46c4734e48320e2b001|BFGMLK+Arial.tu.n.041.25|G114|0072|r
01d94016bf7048b56a013cdc3b368e89|FCNHKI+Arial079.188|G98|0062|b
01db3f46fe1cb97638552dff3f149e88|BHEDCA+Arial.kurz.va021.688|G70|0046|F
01dd75ad8e128e0a8d438d0d40ceb256|BABOKC+Arial021.688|G86|0056|V
01e183963bc64156197f764eebe3f586|DLFOAC+Arial037.063|G237|00ed|iacute
01e6727f5e2509d89e6adad3e0d303e2|EMOIMC+Arial.tu.n.0162.438|G49|0031|one
01e6b2bbbfce383348c626a3a4f9052f|BEGJPI+Arial.tu.n.0670.25|G49|0031|one
01ec936b0bb052e03c1caabc5d5c07d7|AJPGHO+Arial.tu.n.0300|G111|006f|o
01ede873aa7ba157ef2698d604cb4bfe|AEJNHA+HelveticaInseratTTEE0133.313|G73|0049|I
01f2b14fdd6807e6188d6004213cb4bb|ACLLEJ+Arial066.688|G252|00fc|udieresis
01f38861ea1c2ceb33bf0f726a259b37|BGBDOG+Arial033.313|G200|010c|Ccaron
01f3c44d3f958b2a439abb6cd910e5c6|ADPLIE+Lucida.Consoleb058.313|G104|0068|h
01f4241f8d9aa56707a6f84a6747ab4b|BALDEM+Arial.kurz.va0151.25|G53|0052|R
01fb69c19ce88dcabd3b9e28bfb03bc9|BDMLDK+Arial.kurz.va036.688|G58|003a|colon
01fd955865d2bf1bf29d1906e8439f98|AFMKBE+Arial.tu.n.0200|G40|0028|parenleft
0202cd0ef67e6a18efd7c468c6c17e29|ACOKMA+Arial.tu.n.036.25|G225|00e1|aacute
02034b617b6a6dd58910858a41df930b|AMFILG+Arial.tu.n.0141.625|G176|00b0|degree
02041dda09401bcc67f3e632ef119612|DKAIEN+Arial027.063|G74|004a|J
02054c32a6b9758e7fc5f5d70ef4d6cb|COCGDC+Courier.New033.313|G71|0047|G
02073a43902b5b0fecbcb4e955b29c83|AJEFKD+Arial.tu.n.0705.563|G101|0065|e
020c044db2b71b7d2e57aed52fb6b900|BHBPDB+Arial.tu.n..kurz.va033.313|G66|0042|B
020c377bcd3f450afc0dedf5cbdaf3bc|BGGLFD+Arial.tu.n.087.5|G74|004a|J
020f54935c7ef0be51d7741eac5d0ced|DJBMDJ+Arial.tu.n.0100|G83|0053|S
020f69861a39c9c4fa92f89291a14a40|BDMLDK+Arial.kurz.va036.688|G72|0048|H
0212e0fe32358b978b62012bb3835e9c|AMLKGP+Arial0317.5|G82|0052|R
02152ad3c60f44107e3f5d5e5dabb507|AEAMNK+Arial075|G120|0078|x
02187e18f532b97e4f95acdab05cf2a4|AEJNHA+HelveticaInseratTTEE0133.313|.notdef|FFFD|notdef
021a5f273f064b6a3aa2132b2ec0bf44|ALEBIJ+Arial050|G83|0053|S
021e817fd494b895c80ea0ef19a4c921|AKFFJH+Arial.Blackb0705.375|G89|0059|Y
022165c9cc4379d23385ab30ab6f92dc|ADLAGL+Arial.tu.n.0200|G77|004d|M
0224ba6a1712c8312870b854b16e2390|ENAAOE+Arial.tu.n.0352.75|G233|00e9|eacute
0228ee70e0839a0c541832127163f1b5|BGGPKP+Arial.kurz.va035.813|G239|010f|dcaron
022afcbb3220b2b37ead7d8cae281df2|DLBGBG+Arial041.688|G158|017e|zcaron
02309b03443de36fa356945e3545d495|AINJGC+Arial037.5|G39|0027|quotesingle
0230d8e392a770a36d063ff8fc1008de|EPGGBC+Arial.tu.n..kurz.va0125|G82|0052|R
0244256629ec629e3b3a8a0035e46998|ACLDAA+Arial.tu.n.070.813|G44|002c|comma
02446dc22c9dfb6dbe49b0a6e147939d|ADHHFB+Times.New.Roman080.375|G20|0031|one
024771f99e28ea7459c185b143a84fc8|AOKENH+Arial.tu.n.01199.938|G110|006e|n
0248fdc6e9c4fedc2dfb8e551b904704|ACLKMI+Arial070.813|G102|0066|f
0249c6ef7b318dac2dd3090493312fe9|AJKBCA+Arial.Narrow033.313|G72|0048|H
024a8fbcba1cc46284c1b4dc75b1085f|AEAMNK+Arial075|G105|0069|i
024bfd15fb67b2d159516ad14c49f59f|BKEDGC+Arial033.75|G98|0062|b
024d6eaf196474ba4f89b69711d04215|EHKAHM+Arial.kurz.va035.813|G190|013e|lcaron
024d89298dff592e1768c8fec943afa3|AEKNLD+Arial.tu.n.091.625|G121|0079|y
024e0adccbff9d4957448b6ba58536ca|FPHEFN+Arial.kurz.va034.188|G89|0059|Y
025095f36c3e7660e3ed1c40f3814153|CNLGNG+Arial.tu.n.033.313|G228|00e4|adieresis
02542aa79909449d87e11d23519bbc4b|AHOPLL+Arial035.438|G64|0040|at
025672a5d03181bae5f5353f8ff2beb6|DHJKFD+Arial.tu.n.0125|G105|0069|i
0258310ad088d6f5c42a913fe68a479c|DPCDJE+HelveticaInseratTTEE091.625|G79|004f|O
0258d9f669d3ff20d3eac3af876895b3|CECBGN+Arial.tu.n.031.688|G104|0068|h
025928402af0daf094c2852e187b886a|AEAMKK+Arial.tu.n.075|G105|0069|i
025caa4441ff71477a7cf8e297d20d4e|ANIGGM+Times.New.Roman.kurz.va037.5|G80|0050|P
0261869f90beae43b3ed47765626abd8|BGBMGE+Courier.New.tu.n.033.313|G233|00e9|eacute
026609d4978a0fb76a0ba3d0b5ae672d|ADLGKG+Lucida.Console075|G99|0063|c
02670e2a43888cc1a908559381503ed8|ADHEFB+Arial.tu.n.0166.625|G107|006b|k
0269d87a6f0d65059b4f305ffe7d9c0f|AFMMKG+Arial035.438|G63|003f|question
0269f4c71774409b956add27ad84512a|DPCBDO+Courier.New029.188|G54|0036|six
026cbf0ed834d4a166a65772554a669e|BLLLGB+Arial.kurz.va038.75|G237|00ed|iacute
02720d70f41e9b6c6c4bc95805fc2a91|BGBDHE+Arial.tu.n.041.688|G248|0159|rcaron
0272a455f6d71aedeb1e09d8ee728d2a|AMLBMF+Arial083.313|G58|003a|colon
0274184810400354894b1e176df38ba8|AMLBOF+Arial.tu.n.0108.313|G237|00ed|iacute
0274fbbca2f113bd16e64bc69c49f66f|DLBBKP+Arial.tu.n.041.688|G45|002d|hyphen
02777fa0173ace953f2791f2b03d1d34|ADPGDN+Arial058.313|G75|004b|K
027d211e91953053a55eb5d8a6df4d4e|DPAEOP+Arial036.25|G99|0063|c
02804f9747fa390b0715c00299eafd2f|BDGGOO+Wingdingsb066.625|G131|2462|
0280a694ebfa09e82c4a9779a2b60705|AOGNPO+Arial.tu.n.0150|G51|0033|three
028af7b6a8c60d237b04767c22123f7e|DPCDJE+HelveticaInseratTTEE091.625|G83|0053|S
029063607e3f65d934bee3d4f1492eac|AFGCLF+Arial027.063|G233|00e9|eacute
0291297ec9609ba1b3cac455ba030597|APBIMA+Arial.tu.n.079.125|G79|004f|O
029bfd29171410e0e9f6913c0843057e|ANIMGE+Times.New.Roman.tu.n.029.188|.notdef|FFFD|notdef
029c0ccaac7025b7db166426cc8a73c8|AGLPDM+Arial.tu.n.0446.75|G150|2013|endash
029d06f44295da4b7c3b7c5479f5f7e7|AFLLNL+HelveticaInseratTTEE0100|G237|00ed|iacute
029e83fb9052d54d5a9832a869aca365|ENAAMD+Arial0317.5|G68|0044|D
029ee2af143641a6d57211b3c609a4d5|AOJMNL+Arial.tu.n.0266.688|G98|0062|b
029f539b68bc776c00aaa3af6598d6c2|ADHNLI+Times.New.Roman079.313|G12|0029|parenright
029fc93e2f50eeff61fd3bee03367204|BEGKIH+Arial.tu.n.0846.625|G70|0046|F
02a519026a8ed719a6d57cece9a88fcf|AEDDEG+Consolas037.5|G85|0055|U
02a727d0609cd52f96ae48fa4abe8650|FCNHNI+Arial.kurz.va079.188|G48|0030|zero
02aa406066952647a8667b0e952e3294|AEDDEG+Consolas037.5|G54|0036|six
02aa6803daa5376a11ab9c327e073a85|DLNOPA+HelveticaInseratTTEE075|G87|0057|W
02b0f29f3c04f9c80f7df2379ecf79fc|BGBDHE+Arial.tu.n.041.688|G111|006f|o
02b49719e7f5565e188afc83b84a8ce0|ACLKMI+Arial070.813|G116|0074|t
02b67d884a6dec1d652752e8a07cd016|FALFPM+Times.New.Roman036.25|G67|0043|C
