glyph_hash|font_name|GlyphName|unicode_hex|AGN
6e22cffd2884541c1114068537e7df19|GKCLND+Symbolb0250|.notdef|FFFD|notdef
2ee3c97debd97beccae7f43ac3da31d9|GKCLND+Symbolb0250|G241|276d|
24274945f9d68211ccad3a72dc9d486b|GKCMHD+Arial.kurz.va068.313|G99|0063|c
293086566dc375ca6674c0d5ea9475e9|GKCMHD+Arial.kurz.va068.313|G100|0064|d
be51c20d90eb0a59bf8283a269996099|GKCMHD+Arial.kurz.va068.313|G101|0065|e
e8f4e1542e4abdfbe0e7a2a3e194ac01|GKCMHD+Arial.kurz.va068.313|G102|0066|f
20906bcc31c14bbb3f25844dd4daf41a|GKCMHD+Arial.kurz.va068.313|G103|0067|g
8139e0035e28bd39991cd3aaebfe566b|GKCMHD+Arial.kurz.va068.313|G104|0068|h
2c898f1e5e72ed9318154668370acf42|GKCMHD+Arial.kurz.va068.313|G105|0069|i
5b17130a30b32cfcdd069484060dc928|GKCMHD+Arial.kurz.va068.313|G108|006c|l
5b219bdfaa230d4199da4c95371dc895|GKCMHD+Arial.kurz.va068.313|G109|006d|m
6973a123a81c195e1c31b52310078f78|GHPCIC+Arial.tu.n.0116.688|.notdef|FFFD|notdef
d338ec14673319212797ecb1eaadd90a|GPENMK+Arial.tu.n.0116.688|G51|0033|three
2a756b9a0aec401e784b388c0982a6ae|GHPCIC+Arial.tu.n.0116.688|G54|0036|six
53b87aab46ba762cad615c49bb579e40|GHPCIC+Arial.tu.n.0116.688|G55|0037|seven
231637c3b2b226f14be4c90d39468d54|GHPCIC+Arial.tu.n.0116.688|G56|0038|eight
d2109b76e3283bb17739c718bd024ffd|GKCMHD+Arial.kurz.va068.313|G110|006e|n
2628c3e5151ac2c816550f6813ec1c16|GKCMHD+Arial.kurz.va068.313|G111|006f|o
34ff8f2e303f6ab6e687035b8e5da54a|GKCMHD+Arial.kurz.va068.313|G112|0070|p
05daef87e44c0d91d4f07e4054e09b95|GKCMHD+Arial.kurz.va068.313|G115|0073|s
7434bedd275a49cad6414a43521febf1|GKCMHD+Arial.kurz.va068.313|G116|0074|t
0ab1ec50f4f86752dfaba6b03447f048|GKCMHD+Arial.kurz.va068.313|G117|0075|u
cfccb0a6bc5cac0961e19fb02c7eb292|GKCMHD+Arial.kurz.va068.313|G119|0077|w
777bb784800d56138f608ed0705cc978|GKCMME+Arial.tu.n.068.313|.notdef|FFFD|notdef
99cc0216df26e307a62f2451980072de|GKCMME+Arial.tu.n.068.313|G46|002e|period
a1eef2923739c481719e1d10e2ce57e7|GKCMME+Arial.tu.n.068.313|G47|002f|slash
